;Full_address;Latitude;Longitude;room_price
0; via Apulia 13, Roma, Italy;4.188.205;12.504.559.599.999.900;430.0
1; via Nemorense 18, Roma, Italy;41.926.064.399.999.900;125.097.871;750.0
2; viale Eritrea 91, Roma, Italy;41.927.925.200.000.000;1.251.559;450.0
3; viale Agosta 22, Roma, Italy;418.914.383;125.575.476;385.0
4; via Palestro 15, Roma, Italy;41.907.846.299.999.900;125.006.797;385.0
5; via Antonio Cippico, Roma, Italy;41.821.419.399.999.900;124.826.393;500.0
6; via Lovanio, Roma, Italy;419.214.504;124.980.441;550.0
7; via Stanislao Cannizzaro 72, Roma, Italy;41.929.968;12.570.610.400.000.000;340.0
8; via Val d'Aosta 102, Roma, Italy;41.932.951.200.000.000;125.244.151;450.0
9; via Antonio Magarotto 36, Roma, Italy;4.191.261.420.000.000;123.959.088;350.0
10; piazza di Ponte Lungo 11, Roma, Italy;4.187.790.089.999.990;125.189.638;450.0
11;  via via Giovanni Vitelleschi, Roma, Italy;419.047.693;12.461.485.099.999.900;480.0
12; via Antonio Silvani 36, Roma, Italy;419.482.219;125.185.512;340.0
13; piazza Istria, Roma, Italy;419.231.739;125.121.716;550.0
14; via Giovanni Frignani 169, Roma, Italy;417.899.185;124.472.191;230.0
15; via Livio Andronico, Roma, Italy;419.109.555;12.441.396.899.999.900;400.0
16; via Pieve di Cadore, Roma, Italy;41.939.510.299.999.900;124.370.312;500.0
17; via Pomarico, Roma, Italy;418.297.645;12.518.052.099.999.900;400.0
18; via Sebastiano Veniero 30, Roma, Italy;41.907.695.700.000.000;124.542.396;550.0
19; via Latina 497, Roma, Italy;41.873.225;12.514.204.300.000.000;450.0
20; via Pescara, Roma, Italy;418.827.908;125.231.997;540.0
21; via Carlo Giuseppe Bertero 43, Roma, Italy;419.323.637;125.544.043;425.0
22; via Catania 71A, Roma, Italy;41.910.003.700.000.000;125.199.187;500.0
23; via Quirino Majorana, Roma, Italy;418.677.573;124.624.321;500.0
24; via della Meloria, Roma, Italy;4.190.729.279.999.990;12.445.734.199.999.900;550.0
25; viale delle Provincie 55, Roma, Italy;419.100.597;125.213.046;450.0
26; via Sardegna, Roma, Italy;419.088.044;12.488.867.599.999.900;450.0
27; via Po 58, Roma, Italy;42.026.618.799.999.900;119.419.396;700.0
28; via dei Cessati Spiriti 88, Roma, Italy;41.866.568;12.529.739.900.000.000;380.0
29; via di Torrevecchia 5, Roma, Italy;41.923.921.899.999.900;124.128.615;450.0
30; via Giovanni Garau 19, Roma, Italy;41.735.454.600.000.000;122.691.927;320.0
31; largo Trionfale 1, Roma, Italy;419.105.131;124.546.836;650.0
32; via Riccardo Zampieri 51, Roma, Italy;41.905.013.000.000.000;125.486.577;330.0
33; viale delle Milizie, Roma, Italy;41.911.209.899.999.900;124.581.093;550.0
34; via Tagliamento 76, Roma, Italy;416.570.679;124.232.121;470.0
35; via dei Monti Tiburtini 489, Roma, Italy;41.916.526.700.000.000;12.544.608.300.000.000;550.0
36; viale di Porta Tiburtina 2, Roma, Italy;41.897.904.700.000.000;125.102.404;550.0
37; via dei Bichi 31, Roma, Italy;418.823.352;124.227.149;380.0
38; via Paolo Segneri 15, Roma, Italy;418.752.452;124.647.037;500.0
39; largo Virgilio Brocchi 68, Roma, Italy;418.428.677;12.491.539.900.000.000;400.0
40; via Cesare Rasponi, Roma, Italy;41.920.351.700.000.000;12.525.019.699.999.900;450.0
41; via Don Filippo Rinaldi 16, Roma, Italy;418.762.776;12.529.717.100.000.000;500.0
42; via Severo Carmignano 9, Roma, Italy;41.868.933.899.999.900;124.449.168;400.0
43; via Nomentana 93, Roma, Italy;41.911.289.700.000.000;125.038.311;390.0
44; via Gian Luca Squarcialupo 36, Roma, Italy;419.129.508;125.266.195;450.0
45; via Vincenzo Coronelli, Roma, Italy;418.853.262;125.333.021;360.0
46; via Lucca 33, Roma, Italy;419.094.213;125.177.033;620.0
47; via di Pietralata 430, Roma, Italy;419.267.886;125.305.166;300.0
48; via Lionello Venturi, Roma, Italy;42.004.731;1.247.157;300.0
49; piazza del Lavoro, Roma, Italy;41.845.616.299.999.900;12.477.184.199.999.900;350.0
50; via Pietro Mascagni, Roma, Italy;41.934.684.499.999.900;12.519.949.800.000.000;380.0
51; via Alessandria 184, Roma, Italy;41.914.514.399.999.900;125.066.591;350.0
52; via Bartolomeo Cueva 15, Roma, Italy;419.343.221;12.422.484.800.000.000;380.0
53; via Annibale De Gasparis 60, Roma, Italy;418.248.131;124.911.177;350.0
54; via Filippi 9, Roma, Italy;4.185.440.620.000.000;124.746.465;500.0
55; via San Gimignano 29, Roma, Italy;419.740.402;12.510.259.300.000.000;290.0
56; via Massaciuccoli 14, Roma, Italy;419.262.903;1.251.485;550.0
57; via Filippo Turati, Roma, Italy;41.896.663.700.000.000;125.054.344;500.0
58; via Filippo Nicolai 90, Roma, Italy;41.915.289;124.412.038;450.0
59; via Savoia 44, Roma, Italy;419.140.429;12.502.205;700.0
60; via Tiburtina 548, Roma, Italy;41.919.546.200.000.000;125.653.478;370.0
61; via Chisimaio 32, Roma, Italy;419.281.957;125.229.075;450.0
62; via Monte delle Gioie 20, Roma, Italy;41.931.971.999.999.900;125.121.534;440.0
63; via Vittorio Locchi 8, Roma, Italy;41.924.322.700.000.000;124.916.717;500.0
64; piazza San Saturnino, Roma, Italy;419.230.575;125.079.018;500.0
65; via Cesare Baronio 38, Roma, Italy;41.874.077;12.521.686.500.000.000;900.0
66; via Monte Pertica, Roma, Italy;419.192.093;124.598.549;500.0
67; via Scribonio Curione, Roma, Italy;418.634.756;125.537.115;360.0
68; via Ostiense 361, Roma, Italy;418.532.789;124.773.507;420.0
69; piazza Gaspare Ambrosini 25, Roma, Italy;41.949.796;12.583.749.099.999.900;290.0
70; via di Valle Aurelia, Roma, Italy;419.213.941;12.432.457.199.999.900;800.0
71;  via Giovanni da Procida, Roma, Italy;419.122.078;125.251.431;450.0
72; via Nocera Umbra, Roma, Italy;41.880.044.399.999.900;12.531.804.199.999.900;450.0
73; via Bixio 71, Roma, Italy;418.927.586;125.077.965;500.0
74; via Federico Ozanam 44, Roma, Italy;418.752.699;124.466.619;480.0
75; via Cardinale Garampi 152, Roma, Italy;419.123.318;124.217.672;350.0
76; via Giovanni della Casa, Roma, Italy;419.456.624;12.418.432.800.000.000;350.0
77; via Francesco Satolli 6, Roma, Italy;41.894.209.499.999.900;124.393.663;466.0
78; via Gibilmanna, Roma, Italy;4.184.721.210.000.000;124.766.045;440.0
79; via Paolo Farinata 4, Roma, Italy;41.870.800.200.000.000;12.641.371.699.999.900;320.0
80; via Gerace 3, Roma, Italy;418.823.525;12.519.810.699.999.900;375.0
81; via Germanico, Roma, Italy;41.908.486.700.000.000;124.609.091;500.0
82; via Arezzo 38, Roma, Italy;41.911.269.299.999.900;125.185.563;500.0
83; via Alberto Bolognetti 11, Roma, Italy;41.915.863;12.422.522.099.999.900;350.0
84; viale Giulio Cesare, Roma, Italy;419.116.588;124.672.507;650.0
85; via Augusto Vera 19, Roma, Italy;418.452.935;124.875.348;350.0
86; via Giotto Dainelli, Roma, Italy;419.878.935;125.554.793;600.0
87; via Cogoleto, Roma, Italy;4.192.872.620.000.000;12.423.198.800.000.000;360.0
88; via Alessandro Malladra, Roma, Italy;41.919.012;125.476.549;500.0
89; via Felice Cavallotti 34, Roma, Italy;41.879.155;12.462.105.000.000.000;650.0
90; Gemelli - Pineta Sacchetti, Roma, Italy;419.278.076;12.427.372.199.999.900;600.0
91; via Giuseppe Toraldo, Roma, Italy;418.647.279;126.241.009;350.0
92; via degli Aldobrandeschi 16, Roma, Italy;41.874.803.899.999.900;123.934.345;650.0
93; via Giulianello, Roma, Italy;418.664.331;125.396.492;450.0
94; via Giovanni Aldini, Roma, Italy;418.640.489;12.467.357.199.999.900;480.0
95; via Luigi Roux 30, Roma, Italy;419.077.826;125.381.253;590.0
96; via Ferdinando Innocenti 58, Roma, Italy;41.930.358;12.564.561;350.0
97; via Paraguay 18, Roma, Italy;419.218.406;12.494.316.699.999.900;620.0
98; via Giuseppe Martucci 3, Roma, Italy;418.767.972;12.746.518.199.999.900;550.0
99; viale Arrigo Boito 16, Roma, Italy;419.552.949;12.159.533;380.0
100; via Mario Pannunzio 4, Roma, Italy;419.114.274;125.450.556;390.0
101; via Giorgio Cingoli, Roma, Italy;41.902.283.000.000.000;12.546.275.900.000.000;650.0
102; via Appia Nuova 572, Roma, Italy;418.702.956;125.277.694;450.0
103; via Prenestina 18, Roma, Italy;41.821.189.399.999.900;129.262.884;320.0
104; piazzale Enrico Dunant, Roma, Italy;418.728.613;12.458.515;430.0
105; via Francesco Borgatti 11, Roma, Italy;419.456.175;12.470.914.800.000.000;450.0
106; via Giorgio Scalia 10, Roma, Italy;41.907.188.899.999.900;124.457.636;650.0
107; via Paolo V, Roma, Italy;419.126.874;124.203.962;450.0
108; via dei Monti di Primavalle 247, Roma, Italy;41.909.248.999.999.900;124.132.383;450.0
109; via Riccardo Grazioli Lante 76, Roma, Italy;419.133.526;124.563.054;550.0
110; via Franco Michelini Tocci 68, Roma, Italy;41.922.489;124.461.853;390.0
111; via Carlo Fea 11, Roma, Italy;419.189.824;125.183.454;530.0
112; via Giuseppe Andreoli, Roma, Italy;41.914.738;12.461.907.400.000.000;450.0
113; via Farfa, Roma, Italy;41.849.031.599.999.900;124.771.145;450.0
114; via Angelo Emo, Roma, Italy;419.048.135;12.447.161.099.999.900;435.0
115; via Giuseppe Tomasi di Lampedusa 9, Roma, Italy;418.159.536;12.472.144.300.000.000;450.0
116; via Luigi Arnaldo Vassallo 51, Roma, Italy;419.071.733;125.389.993;390.0
117; piazza Sempione, Roma, Italy;419.353.051;12.534.195;400.0
118; via Anagni 66, Roma, Italy;418.900.915;125.538.823;270.0
119; via Rosa Venerini, Roma, Italy;41.945.586.299.999.900;124.235.243;400.0
120; via Nomentana 994, Roma, Italy;41.946.462.100.000.000;125.660.936;500.0
121; piazza Addis Abeba 1, Roma, Italy;419.314.927;125.230.625;400.0
122; via San Nemesio 3, Roma, Italy;41.858.491.799.999.900;124.890.344;500.0
123; via degli Scipioni 82, Roma, Italy;419.084.895;124.582.398;700.0
124; largo di Villa Bianca 6, Roma, Italy;419.259.834;125.127.937;500.0
125; via Val Cristallina 26, Roma, Italy;419.381.243;125.284.115;430.0
126; piazza Irnerio, Roma, Italy;418.984.029;12.430.148.599.999.900;400.0
127; piazza Manfredo Fanti 46, Roma, Italy;418.977.615;125.034.242;470.0
128; via Flavio Domiziano 9, Roma, Italy;41.851.532.899.999.900;12.485.203.199.999.900;500.0
129; via Umberto Moricca 33, Roma, Italy;41.901.771.000.000.000;124.360.462;420.0
130; via Pasquale II 174, Roma, Italy;419.114.891;12.410.623;800.0
131; via Ripa Teatina 10, Roma, Italy;419.242.523;12.574.027.800.000.000;360.0
132; viale Regina Margherita 157, Roma, Italy;419.096.973;125.107.964;600.0
133; via Eudo Giulioli 4, Roma, Italy;4.184.916.810.000.000;125.780.203;380.0
134; via Arrigo Benedetti 13, Roma, Italy;419.008.798;125.461.188;450.0
135; via Pescosolido 36, Roma, Italy;41.918.839.299.999.900;125.625.326;340.0
136;  via Gallia, 64, Roma, Italy;418.812.389;125.022.603;470.0
137; via di Val Tellina 29, Roma, Italy;41.865.730.799.999.900;124.492.719;500.0
138; via Principe Umberto, Roma, Italy;418.943.609;12.509.389;438.0
139; via Ada Negri 21, Roma, Italy;419.472.559;125.614.045;350.0
140; via Giacinto Mompiani 7, Roma, Italy;419.117.263;124.594.405;500.0
141; via Arturo Graf, Roma, Italy;4.194.396;12.552.583.300.000.000;350.0
142; largo Enea Bortolotti 10, Roma, Italy;41.855.013.899.999.900;12.472.288.699.999.900;400.0
143; via Caio Mario, Roma, Italy;419.085.511;124.607.985;800.0
144; via Enrico Fermi 6, Roma, Italy;413.576;13.422.061.800.000.000;275.0
145; via Antonio Stoppani 10, Roma, Italy;41.922.081;124.905.621;750.0
146; piazza Giancarlo Vallauri 10, Roma, Italy;41.864.610.600.000.000;124.832.091;550.0
147; via Poggio Catino 33, Roma, Italy;419.305.231;12.515.199.800.000.000;470.0
148;  via dei Corneli, 2, Roma, Italy;41.866.072.499.999.900;125.452.955;380.0
149; via Arrigo Davila, Roma, Italy;418.682.016;125.283.484;450.0
150; via Sambucuccio d'Alando, Roma, Italy;41.912.563.899.999.900;125.215.738;430.0
151;  via di Villa Ricotti, Roma, Italy;419.154.152;125.187.475;450.0
152; via Cividale del Friuli 21, Roma, Italy;418.768.604;12.517.311.300.000.000;425.0
153; via Alfredo Casella 31, Roma, Italy;41.937.785.299.999.900;12.515.588.099.999.900;550.0
154; via Giuseppe Bellucci 38, Roma, Italy;419.298.295;12.568.748.199.999.900;350.0
155; via Panaro, Roma, Italy;419.250.685;125.090.356;520.0
156; via Valle di Corio 16, Roma, Italy;41.940.174.400.000.000;125.272.727;400.0
157; via Tarcento 44, Roma, Italy;41.899.438.200.000.000;12.562.961.999.999.900;400.0
158; piazzale Clodio, Roma, Italy;419.168.619;124.551.095;500.0
159; via Valerio Publicola, Roma, Italy;418.568.494;125.570.557;450.0
160; via della Pineta Sacchetti 229, Roma, Italy;419.297.774;124.244.036;440.0
161; via Tor de' Schiavi 333, Roma, Italy;418.940.534;12.559.448;450.0
162; viale dell'Oceano Atlantico 29, Roma, Italy;41.819.252.899.999.900;124.674.779;420.0
163; Clivo della Montagnola 10, Roma, Italy;418.498.994;12.476.140.800.000.000;460.0
164; via Enrico Cosenz 22, Roma, Italy;418.963.085;12.535.762.599.999.900;375.0
165; via Pavia, Roma, Italy;419.091.487;125.187.655;500.0
166; via Federico Faruffini 12, Roma, Italy;418.411.403;126.046.172;850.0
167; via Cina 99, Roma, Italy;418.101.945;12.431.842.199.999.900;370.0
168; via di Torrenova 173, Roma, Italy;41.863.781;126.190.226;350.0
169; via Franco Bartoloni 93, Roma, Italy;41.867.206.599.999.900;125.284.799;530.0
170; via Valsesia 26, Roma, Italy;419.424.266;12.527.134.599.999.900;450.0
171; via Luigi Ferretti, Roma, Italy;41.868.393.700.000.000;125.727.926;300.0
172; via Giuseppe Govone 29, Roma, Italy;418.975.341;12.535.722.400.000.000;350.0
173; via Enrico Fermi, Roma, Italy;418.193.033;126.735.644;400.0
174; via Roccagorga 15, Roma, Italy;418.655.721;12.531.919.699.999.900;450.0
175; via Prenestina 42, Roma, Italy;41.819.682;12.953.505.499.999.900;360.0
176; corso Trieste, Roma, Italy;419.234.122;12.513.063.699.999.900;550.0
177; via Gualtiero Serafino 8, Roma, Italy;419.104.821;124.452.479;450.0
178; via Paolo Savi, Roma, Italy;418.723.634;126.010.364;325.0
179; Re di Roma, Roma, Italy;41.881.635.100.000.000;125.144.046;450.0
180;  via Nemi, 8, Roma, Italy;418.681.869;125.327.689;450.0
181; Grottarossa - Saxa Rubra, Roma, Italy;41.965.760.100.000.000;124.905.226;400.0
182; viale Tito Livio 179, Roma, Italy;419.173.677;124.440.919;490.0
183; via delle Alpi Apuane 11B, Roma, Italy;419.365.093;125.365.602;450.0
184; viale delle Provincie 96, Roma, Italy;4.191.038.629.999.990;125.208.599;500.0
185; viale Egeo 137, Roma, Italy;41.828.631.200.000.000;124.542.159;420.0
186; via Igino Lega 2, Roma, Italy;4.198.070.429.999.990;124.155.635;400.0
187; via L'Aquila 23, Roma, Italy;41.458.868.599.999.900;127.400.661;380.0
188; via Francesco Suriano, Roma, Italy;417.864.707;123.731.932;350.0
189; via Efisio Orano 9, Roma, Italy;41.908.955;12.573.632.199.999.900;500.0
190; via Giuseppe Avezzana 6, Roma, Italy;419.160.804;12.466.901;500.0
191; via Andrea Millevoi 683, Roma, Italy;41.822.340.000.000.000;125.186.504;400.0
192; viale delle Mura Gianicolensi 96, Roma, Italy;418.860.821;12.461.867.699.999.900;1.22
193; via Domenichino 5, Roma, Italy;418.951.112;12.499.121.800.000.000;600.0
194; via Ariano Irpino, Roma, Italy;418.919.316;125.426.886;270.0
195; piazza della Radio, Roma, Italy;418.692.575;124.671.587;500.0
196; via Bernardo Barbiellini Amidei 43, Roma, Italy;419.249.499;124.269.739;500.0
197; via Tiburtina Antica 7, Roma, Italy;41.897.434.999.999.900;125.110.371;500.0
198; via di Tor Vergata 19, Roma, Italy;41.855.845;126.256.618;350.0
199; viale Cortina d'Ampezzo 191, Roma, Italy;422.031.797;12.398.881.699.999.900;500.0
200; piazzale delle Provincie 11, Roma, Italy;41.909.411.600.000.000;125.217.273;540.0
201; via Val Sassina 12, Roma, Italy;4.193.557.620.000.000;125.281.315;450.0
202; via Michele di Lando, Roma, Italy;419.141.639;12.526.607.199.999.900;490.0
203; via del Forte Braschi 87, Roma, Italy;41.913.878.600.000.000;124.150.441;400.0
204; via Bolzano 32, Roma, Italy;454.155.857;109.900.674;700.0
205; via Olindo Malagodi, Roma, Italy;419.089.467;12.536.128.199.999.900;430.0
206; via Giuseppe De Marini, Roma, Italy;41.968.286.799.999.900;12.518.182.699.999.900;350.0
207; largo Federico Delpino 5, Roma, Italy;418.909.089;125.620.951;500.0
208; via Enrico Cosenz 11, Roma, Italy;4.189.645;12.536.624.400.000.000;500.0
209; via Giulia di Colloredo, Roma, Italy;418.773.994;12.443.710.000.000.000;300.0
210; viale Tirreno, Roma, Italy;419.407.305;125.284.349;390.0
211; via Francesco Paolo Neglia, Roma, Italy;417.513.065;12.377.964.599.999.900;350.0
212; via Giarabub 16, Roma, Italy;4.193.033.870.000.000;125.218.045;420.0
213; via Giovanni Caselli 67, Roma, Italy;418.690.821;124.625.247;450.0
214;  via Lucrino, Roma, Italy;41.928.481;12.513.713.099.999.900;600.0
215; via della Lega Lombarda 22, Roma, Italy;419.089.933;125.225.142;600.0
216; via dell'Esquilino 38, Roma, Italy;41.898.208.700.000.000;124.984.338;800.0
217; via dei Balestrucci 50, Roma, Italy;418.744.414;125.936.252;300.0
218; viale Appio Claudio 249, Roma, Italy;418.519.334;12.560.715.199.999.900;500.0
219; viale Bruno Pelizzi 163, Roma, Italy;418.595.458;12.577.269.699.999.900;350.0
220; via Gennaro Righelli 64, Roma, Italy;4.194.759.570.000.000;125.671.005;500.0
221; vicolo del Casale Galvani, Roma, Italy;419.121.441;125.405.386;300.0
222; via Eratostene, Roma, Italy;418.817.341;12.541.612.800.000.000;350.0
223; viale Leonardo da Vinci, Roma, Italy;4.179.741.679.999.990;12.587.744.800.000.000;450.0
224; via del Serafico 159, Roma, Italy;418.307.928;124.908.341;400.0
225; via Lampedusa 10, Roma, Italy;419.432.153;12.536.721.400.000.000;600.0
226; via Federico Patetta 4, Roma, Italy;419.041.757;124.299.131;450.0
227; via Ancona 20, Roma, Italy;419.099.951;12.501.792;600.0
228; via Rainone 27, Roma, Italy;418.518.302;12.676.777.900.000.000;500.0
229; piazza Ischia, Roma, Italy;4.194.299.829.999.990;125.385.745;320.0
230; via Tevere 31, Roma, Italy;42.025.941.499.999.900;119.415.989;600.0
231; via Vestricio Spurinna 101, Roma, Italy;418.643.515;12.555.184.599.999.900;520.0
232;  via monteforte irpino, Roma, Italy;418.914.406;125.524.438;380.0
233; via Cesare Correnti 7, Roma, Italy;418.731.275;125.169.659;300.0
234; via Decio Azzolino 71, Roma, Italy;419.146.002;124.024.587;400.0
235; via di Vigna Due Torri, Roma, Italy;418.473.947;124.526.855;450.0
236; via Carlo Cattaneo 10, Roma, Italy;41.716.181.899.999.900;128.451.798;450.0
237; via Concordia, Roma, Italy;418.776.483;125.088.679;375.0
238; via Galeazzo Alessi 69, Roma, Italy;418.807.651;125.351.531;440.0
239; via del Quadraretto 22, Roma, Italy;41.863.158;125.458.647;330.0
240;  via Torri in Sabina 13, Roma, Italy;41.935.422.499.999.900;125.120.481;470.0
241; viale marconi, Roma, Italy;42.025.695;129.943.588;380.0
242; via Angiolo Cassioli, Roma, Italy;41.868.187.799.999.900;12.579.553.599.999.900;330.0
243; via Andrea Sacchi 9, Roma, Italy;419.331.059;124.660.544;500.0
244; via di Santa Costanza, Roma, Italy;41.921.858;125.157.843;500.0
245;  viale CARSO, Roma, Italy;41.919.435;12.460.773.199.999.900;500.0
246;  via Isabella d'Aragona, Roma, Italy;419.123.683;125.226.651;275.0
247; via del Fosso di Papa Leone 22, Roma, Italy;418.342.282;124.417.016;350.0
248; piazza di Santa Maria Ausiliatrice, Roma, Italy;418.735.528;12.530.463.300.000.000;500.0
249; via Guglielmo Sirleto, Roma, Italy;419.243.343;12.420.100.699.999.900;350.0
250; via Pavia 45, Roma, Italy;419.096.521;12.518.897.599.999.900;450.0
251; via Gregorio XIII, Roma, Italy;419.056.797;124.186.397;420.0
252; via Ottavio Assarotti 19, Roma, Italy;419.423.552;124.216.711;400.0
253; via Fratelli Bandiera 1, Roma, Italy;42.057.934.100.000.000;126.982.774;500.0
254; via Frassinoro 38, Roma, Italy;417.900.015;12.414.721.400.000.000;450.0
255;  via del Casaletto, 151, Roma, Italy;418.761.391;12.440.557;450.0
256; viale degli Ammiragli, Roma, Italy;41.905.403;12.444.987.199.999.900;500.0
257; via dei Reti, Roma, Italy;4.189.982.020.000.000;125.173.073;500.0
258; via Francesco dall'Ongaro 43, Roma, Italy;41.879.140.899.999.900;124.645.629;650.0
259; via Fregene, Roma, Italy;418.825.735;125.108.692;500.0
260; via di Monte Verde 65, Roma, Italy;418.723.969;12.457.792.300.000.000;500.0
261; via Aulo Gabinio 5, Roma, Italy;41.856.522.600.000.000;12.557.918.199.999.900;430.0
262; via Bartolino da Novara 50, Roma, Italy;418.770.058;125.404.682;500.0
263; via Montefalco 15, Roma, Italy;418.799.255;12.529.148.199.999.900;320.0
264; via Vallarsa 1, Roma, Italy;41.935.094.899.999.900;12.530.761;350.0
265; via Francesco di Benedetto 122, Roma, Italy;41.838.606.799.999.900;12.601.493;350.0
266; via Festo Avieno 73, Roma, Italy;419.271.686;12.443.693;500.0
267; via Como, Roma, Italy;419.097.367;125.154.992;500.0
268; via Fiume delle Perle 11, Roma, Italy;418.088.781;124.371.421;380.0
269; via Ludovico da Casoria 20, Roma, Italy;41.971.733;12.506.048.199.999.900;300.0
270; largo Ettore Marchiafava 3, Roma, Italy;419.069.779;12.517.431.199.999.900;500.0
271; via Giuseppe Gioachino Belli 39, Roma, Italy;41.906.794.500.000.000;12.469.445;500.0
272; viale Anicio Gallo 12, Roma, Italy;41.854.482.899.999.900;125.608.262;300.0
273; via Angelo Barbetti 43, Roma, Italy;41.862.007.299.999.900;126.011.265;360.0
274; via di Porta Fabbrica, Roma, Italy;418.993.412;124.537.475;550.0
275; via Salvatore Pincherle 64, Roma, Italy;41.852.336;124.717.056;440.0
276; via di Villa San Filippo, Roma, Italy;419.273.293;12.492.123.300.000.000;750.0
277;  via  della stazione tuscolana, Roma, Italy;418.830.494;12.525.897.500.000.000;430.0
278; via Sorelle Marchisio, Roma, Italy;419.256.019;12.424.464.599.999.900;380.0
279; Conca d'Oro - Valli, Roma, Italy;419.386.143;125.260.345;900.0
280; piazza Vega 52, Roma, Italy;417.268.614;122.940.002;360.0
281; San Giovanni, Roma, Italy;4.188.534.779.999.990;12.509.976;300.0
282;  via Giacinto Carini, Roma, Italy;418.852.412;12.460.954.699.999.900;500.0
283; via Cerveteri, Roma, Italy;41.881.417;125.118.978;500.0
284; piazzale di Porta Pia 116, Roma, Italy;419.099.037;125.012.674;
285; via Ennio Bonifazi, Roma, Italy;41.906.395.200.000.000;124.148.603;450.0
286; via Alberto Pollio 30, Roma, Italy;419.002.133;125.342.341;400.0
287; via Fratelli Laurana 7, Roma, Italy;418.230.316;12.486.921.699.999.900;350.0
288; via Alessandro Vellutello 10, Roma, Italy;417.870.361;12.385.653.199.999.900;1.0
289; via dello Scalo Prenestino 10, Roma, Italy;418.979.857;125.433.119;380.0
290; via Lusitania 33, Roma, Italy;418.770.207;125.043.156;470.0
291; via Etruria 44, Roma, Italy;418.790.316;12.512.723.800.000.000;1.14
292; via Tito Quinzio Penno, Roma, Italy;418.653.494;12.553.457;460.0
293; via Mendicino, Roma, Italy;418.327.165;12.600.505.400.000.000;380.0
294; via dei Latini, Roma, Italy;418.970.315;12.513.448.599.999.900;500.0
295; via di Tor Pignattara 121, Roma, Italy;418.763.852;12.541.541;350.0
296; via di Monte del Gallo 26, Roma, Italy;418.963.761;124.521.353;700.0
297; via Poggio Bracciolini 78, Roma, Italy;419.465.932;12.569.294.000.000.000;500.0
298; via Giuseppe Macchi 41, Roma, Italy;418.630.126;126.179.186;350.0
299; via Ponzio Cominio 11, Roma, Italy;418.601.838;125.573.281;550.0
300; via Pomposa 21, Roma, Italy;418.475.963;124.789.368;600.0
301; via Pietro Gasparri 60, Roma, Italy;41.924.817.299.999.900;124.139.922;360.0
302; via Eleonora d'Arborea, Roma, Italy;41.911.430.100.000.000;125.234.031;500.0
303; via Scipio Slataper 9, Roma, Italy;41.925.039.899.999.900;124.924.128;550.0
304; largo Guido Cencetti, Roma, Italy;419.252.564;124.266.473;450.0
305; via Pellegrino Matteucci, Roma, Italy;418.718.215;124.834.289;380.0
306;  via teulada, Roma, Italy;419.203.287;124.545.843;570.0
307; via Oldenico 26, Roma, Italy;419.265.706;12.376.652.400.000.000;450.0
308; piazza Caterina Sforza 6, Roma, Italy;41.858.875.399.999.900;124.912.587;450.0
309; via Luigi Magrini 18, Roma, Italy;41.865.185.600.000.000;124.697.485;
310; viale Partenope, Roma, Italy;41.892.219.700.000.000;12.551.137.400.000.000;350.0
311; via Vito Giuseppe Galati, Roma, Italy;41.911.688.500.000.000;125.702.548;300.0
312; via Lucio Papirio 116, Roma, Italy;418.541.692;125.614.221;450.0
313; via Marco Valerio Corvo, Roma, Italy;418.567.843;125.596.915;350.0
