;Full_address;Latitude;Longitude;room_price
314; via Augusto Riboty 18, Roma, Italy;41.915.419.299.999.900;124.546.828;450.0
315; via Domenico Fava 26, Roma, Italy;4.195.574.129.999.990;12.399.220.399.999.900;360.0
316; via dei Dauni 2, Roma, Italy;41.901.038.899.999.900;125.114.008;550.0
317; via Gela 73, Roma, Italy;4.187.853;12.520.192;450.0
318; via dell'Acquedotto del Peschiera 160, Roma, Italy;419.365.067;12.425.402.499.999.900;400.0
319; via Tevere, Roma, Italy;42.091.168.200.000.000;118.054.029;520.0
320; via di Villa Maggiorani 31, Roma, Italy;41.930.912;124.246.605;400.0
321;  via Dei Latini 71, Roma, Italy;416.640.265;124.799.636;275.0
322;  via via Antelao  9, Roma, Italy;419.433.708;125.300.528;350.0
323; via di Sant'Angela Merici 20, Roma, Italy;41.922.487.200.000.000;125.260.347;450.0
324; via Castiglione d'Orcia, Roma, Italy;418.524.548;124.388.302;420.0
325; viale Giulio Cesare 51, Roma, Italy;41.910.394.200.000.000;12.461.586;
326;  via podenzana, Roma, Italy;41.956.936.600.000.000;12.519.902;450.0
327; via Gabriello Chiabrera, Roma, Italy;41.854.212.700.000.000;12.479.376.199.999.900;580.0
328; via Libero Leonardi 12, Roma, Italy;418.542.696;125.929.112;540.0
329; via Giorgio Ghisi 19, Roma, Italy;418.687.298;12.642.833.300.000.000;450.0
330; via Gaspare Gozzi 137, Roma, Italy;418.538.647;124.783.941;450.0
331; via Reggio Calabria, Roma, Italy;419.118.954;12.519.762.199.999.900;450.0
332; viale Etiopia 34, Roma, Italy;41.931.644.399.999.900;12.523.257.899.999.900;440.0
333; via Val D'Ossola 12, Roma, Italy;42.058.287;12.699.095.199.999.900;400.0
334; via Adolfo Giaquinto 8, Roma, Italy;418.681.635;12.575.765.800.000.000;350.0
335; via dei Volsci 20, Roma, Italy;417.272.196;12.825.094.400.000.000;400.0
336; via dei Podesti 16, Roma, Italy;41.928.672;12.461.973.500.000.000;460.0
337; via Gian Battista Miliani 20, Roma, Italy;418.596.937;12.623.231.500.000.000;330.0
338; via dei Castani, Roma, Italy;41.882.647.399.999.900;12.566.727;580.0
339; via del Calcio 1, Roma, Italy;41.832.618;125.089.841;450.0
340; via dei Banchi Nuovi 44, Roma, Italy;418.995.477;12.467.468.400.000.000;600.0
341; via Roberto Fancelli 161, Roma, Italy;418.619.863;125.817.561;380.0
342; via dei Volsci 104, Roma, Italy;418.992.468;125.176.716;485.0
343; via Collazia 27, Roma, Italy;41.878.261.200.000.000;12.507.263;500.0
344; via Sandro Sandri 74, Roma, Italy;419.040.739;125.492.791;370.0
345;  via Aristide Gabelli, Roma, Italy;41.942.613.200.000.000;124.229.691;450.0
346; via Aquilonia 4, Roma, Italy;41.891.951;125.498.519;385.0
347; via Chianti, Roma, Italy;419.154.889;125.275.805;390.0
348; via Homs, Roma, Italy;41.928.827.000.000.000;125.219.521;600.0
349; via Luni, Roma, Italy;41.881.687.400.000.000;125.065.603;450.0
350; viale Somalia, Roma, Italy;41.935.387.899.999.900;125.177.549;400.0
351; via Cupra, Roma, Italy;41.909.546;12.536.209;400.0
352; via Giacinto Martorelli 47, Roma, Italy;418.708.467;12.600.898.599.999.900;600.0
353;  via Graziano, Roma, Italy;419.004.677;124.314.978;450.0
354; via Quintilio Varo 33, Roma, Italy;41.851.546;12.568.408.699.999.900;
355; via Borghesano Lucchese 3, Roma, Italy;4.186.711.210.000.000;124.673.381;270.0
356; via Monterone, Roma, Italy;418.971.066;124.756.481;600.0
357; via Rinaldo d'Ami 19, Roma, Italy;418.029.884;12.427.669.900.000.000;500.0
358; via Calpurnio Fiamma 53, Roma, Italy;41.859.595.500.000.000;125.600.925;560.0
359; via Campo Catino 27, Roma, Italy;41.943.874;12.442.179.699.999.900;500.0
360; via Statilio Ottato 20, Roma, Italy;418.549.626;12.566.781;400.0
361; via Ivrea 34, Roma, Italy;41.877.191.100.000.000;12.519.366.999.999.900;415.0
362; via Raffaele De Ferrari 95, Roma, Italy;41.863.099.600.000.000;12.649.059.900.000.000;250.0
363; via Scirè, Roma, Italy;419.296.986;125.233.879;420.0
364; viale Filarete 179, Roma, Italy;41.877.565.399.999.900;125.393.433;330.0
365; via Virgilio Melandri 184, Roma, Italy;419.138.291;12.573.466.400.000.000;350.0
366; via Pietro Cartoni, Roma, Italy;41.873.426.200.000.000;124.531.405;420.0
367; via Giovanni Botero 23, Roma, Italy;41.870.686.799.999.900;12.526.406.399.999.900;450.0
368; via Ottorino Gentiloni 41, Roma, Italy;41.951.228;125.240.345;370.0
369; piazza Trasimeno 2, Roma, Italy;419.188.654;12.506.312.300.000.000;270.0
370; via delle Alpi, Roma, Italy;419.177.711;125.076.162;430.0
371;  via della Moletta, Roma, Italy;4.186.891.370.000.000;12.486.405.099.999.900;450.0
372; largo Arturo Donaggio, Roma, Italy;419.250.909;124.136.984;500.0
373; via Monte Epomeo 21, Roma, Italy;41.949.585.799.999.900;125.311.814;430.0
374; via Pastorino Pastorini 16, Roma, Italy;418.590.005;12.609.442.900.000.000;350.0
375; via Francesco Cherubini 8, Roma, Italy;41.944.232.799.999.900;124.247.716;375.0
376; via Giuseppe Gatteschi 10, Roma, Italy;419.225.919;12.524.464.199.999.900;500.0
377; via Pietro Blaserna 4, Roma, Italy;418.659.355;12.471.376;420.0
378; via Po 22, Roma, Italy;41.722.187.899.999.900;128.327.187;1.2
379; via Monte Viglio 7, Roma, Italy;417.200.251;130.041.284;400.0
380; piazza dei Mirti 5, Roma, Italy;4.188.141.029.999.990;12.566.923.599.999.900;350.0
381; via Casalmonferrato, Roma, Italy;418.806.625;12.518.220.800.000.000;490.0
382; piazza della Radio 14, Roma, Italy;418.701.516;124.672.165;500.0
383; via Fulcieri Paulucci de' Calboli, Roma, Italy;419.165.456;12.461.485;450.0
384; via Arnobio 11, Roma, Italy;419.120.025;12.441.728.900.000.000;550.0
385; via Pagoda Bianca 58, Roma, Italy;41.809.541.499.999.900;12.430.735.499.999.900;320.0
386; viale Guglielmo Marconi, Roma, Italy;416.839.928;127.805.881;450.0
387; via Teresa De Gubernatis Mannucci, Roma, Italy;419.393.085;124.275.535;500.0
388; via Rimini 14, Roma, Italy;418.843.807;125.120.945;530.0
389; via Prenestina 25, Roma, Italy;418.950.803;12.565.335.699.999.900;350.0
390; via Silvio d'Amico 6, Roma, Italy;418.518.024;124.779.102;350.0
391; via dei Colombi 60, Roma, Italy;418.693.314;12.593.345.699.999.900;290.0
392; via Michelangelo Tamburini 8, Roma, Italy;418.662.591;124.930.019;500.0
393; viale di Villa Pamphili 76, Roma, Italy;418.843.692;124.564.965;450.0
394; via dei Ginepri 34, Roma, Italy;418.886.942;12.570.884.199.999.900;350.0
395; via Capo Spartivento 29, Roma, Italy;41.737.885.299.999.900;122.863.413;1.05
396; via Giuseppe Guerzoni, Roma, Italy;4.185.556.270.000.000;124.496.936;400.0
397; via Luigi Pigorini, Roma, Italy;41.915.819;125.223.886;450.0
398; via Giuseppe Manno, Roma, Italy;418.732.739;125.196.819;390.0
399; via Luchino dal Verme, Roma, Italy;41.888.675.899.999.900;1.254.018;400.0
400; viale delle Milizie 15, Roma, Italy;419.117.455;12.460.048.800.000.000;1.6
401; piazza Gondar 1, Roma, Italy;419.332.904;125.205.804;460.0
402; via Rosa Raimondi Garibaldi 119, Roma, Italy;418.585.326;124.922.556;400.0
403; viale Angelico 38, Roma, Italy;419.114.157;124.581.182;600.0
404; via Matteo Tondi 22, Roma, Italy;419.176.813;12.558.898.300.000.000;370.0
405; via Castelfidardo, Roma, Italy;419.062.854;125.011.761;550.0
406; via Raffaele Aversa 152, Roma, Italy;41.786.648;124.463.649;350.0
407; via Stresa 53, Roma, Italy;419.379.843;124.419.674;450.0
408; via Eurialo 91, Roma, Italy;418.717.135;12.528.352.400.000.000;450.0
409; Cinecittà, Roma, Italy;418.493.002;125.743.771;400.0
410; via delle Sette Chiese 88, Roma, Italy;418.604.252;124.982.837;660.0
411; via Chiana, Roma, Italy;41.922.073.700.000.000;12.504.244.300.000.000;600.0
412; via Cupa 7, Roma, Italy;41.908.068.799.999.900;125.229.016;570.0
413; via Mestre 4, Roma, Italy;415.929.871;125.042.329;600.0
414; via Elce della Vecchia 51, Roma, Italy;418.742.885;126.942.592;660.0
415; via Ceneda 16, Roma, Italy;418.805.669;12.511.973.699.999.900;500.0
416; via Paolo Albera, Roma, Italy;418.773.842;12.533.256.699.999.900;450.0
417; via Orvieto 26, Roma, Italy;418.857.641;12.517.136.099.999.900;450.0
418; via Gaspare Finali 4, Roma, Italy;418.745.917;125.168.784;400.0
419; viale Liegi, Roma, Italy;419.205.579;124.970.302;500.0
420; via Marcantonio Raimondi, Roma, Italy;41.858.222.600.000.000;126.033.255;280.0
421; via dei Volsci, Roma, Italy;418.973.704;125.141.032;350.0
422; via di Acqua Bullicante 333, Roma, Italy;418.832.486;125.432.671;480.0
423; via Monza 9, Roma, Italy;418.859.595;125.153.754;450.0
424; via Michele De Marco 50, Roma, Italy;418.616.455;125.884.588;350.0
425; via Gerolamo Belloni 77, Roma, Italy;419.478.876;124.684.451;550.0
426; corso Trieste 61, Roma, Italy;41.923.266.299.999.900;125.131.774;750.0
427; via Satrico 32, Roma, Italy;418.777.634;12.506.011.500.000.000;450.0
428; via Michele Migliarini, Roma, Italy;418.280.338;12.587.385.800.000.000;320.0
429; via Francesco Valesio 13, Roma, Italy;418.756.364;12.520.250.599.999.900;450.0
430; via Maffio Maffii 11, Roma, Italy;4.191.014.620.000.000;12.543.956.800.000.000;410.0
431; viale Europa 97, Roma, Italy;414.614.446;126.318.247;500.0
432; via Foligno 3, Roma, Italy;418.851.831;125.187.952;525.0
433; via Arno 96, Roma, Italy;419.181.555;12.501.543.199.999.900;600.0
434; via Nicastro 3, Roma, Italy;41.882.808.399.999.900;125.191.536;590.0
435; via dei Meli 33F, Roma, Italy;41.880.986.799.999.900;125.755.164;320.0
436; via Francesco Caracciolo 10, Roma, Italy;41.908.089.200.000.000;124.493.625;550.0
437; via Ermanno Wolf Ferrari 256, Roma, Italy;417.513.466;123.745.927;350.0
438; via della Pineta Sacchetti 201, Roma, Italy;419.367.875;12.428.592;410.0
439; piazza Giovanni da Verrazzano 42, Roma, Italy;41.868.666;12.490.267.900.000.000;500.0
440; via Domenico Comparetti 24, Roma, Italy;41.942.010.499.999.900;12.551.156.599.999.900;350.0
441; via Monte Argentario 9, Roma, Italy;419.378.371;125.359.598;400.0
442; via Mario Rossi Tancredi 8, Roma, Italy;418.062.489;124.801.927;410.0
443; via Gerolamo Mercuriale 2, Roma, Italy;419.259.581;12.414.902.099.999.900;320.0
444; via Coriolano 45, Roma, Italy;418.736.666;12.526.895.800.000.000;550.0
445; via Leone Magno 17, Roma, Italy;419.036.995;124.204.286;480.0
446; via Ampio Flaviano 15, Roma, Italy;41.858.074;125.641.702;400.0
447; via Leopoldo Nobili, Roma, Italy;418.566.935;124.719.857;390.0
448; via Monte Nevoso, Roma, Italy;419.294.595;12.536.978.300.000.000;400.0
449; Borgo Vittorio 97, Roma, Italy;419.043.122;124.595.009;700.0
450; via Conte di Carmagnola 58, Roma, Italy;418.902.376;125.338.793;400.0
451; via Orso Mario Corbino 9, Roma, Italy;4.186.406.470.000.000;12.468.026;700.0
452; via Folco Portinari 65, Roma, Italy;418.684.146;12.450.282.099.999.900;450.0
453; via Giuseppe Maranini 39, Roma, Italy;418.391.315;12.609.254.400.000.000;400.0
454; via degli Opimiani 35, Roma, Italy;418.605.176;125.493.521;400.0
455; viale Val Padana 134, Roma, Italy;419.440.886;125.215.541;380.0
456; via di Donna Olimpia 240, Roma, Italy;418.775.533;12.452.728.599.999.900;450.0
457; via Federico Millosevich 13, Roma, Italy;419.203.746;125.452.701;400.0
458; via Cesare Pascarella 25, Roma, Italy;418.766.864;12.467.386.900.000.000;450.0
459; via Luigi Vittorio Bertarelli 7, Roma, Italy;4.190.608.710.000.000;12.536.954.699.999.900;410.0
460; via San Biagio Platani 109, Roma, Italy;418.781.914;12.640.234.399.999.900;500.0
461; via di Villa Chigi 97, Roma, Italy;419.316.401;125.130.664;300.0
462; via Carlo della Rocca 25, Roma, Italy;418.792.416;125.440.839;360.0
463; via Trebbia, Roma, Italy;4.191.616.629.999.990;124.986.597;200.0
464; via Madre Teresa Napoli 22D, Roma, Italy;41.910.706.700.000.000;12.673.162;420.0
465; via Enrico Toti, Roma, Italy;418.904.137;125.140.947;400.0
466; piazza Annibaliano, Roma, Italy;419.246.775;125.159.102;520.0
467; via Silvestro Baglioni 30, Roma, Italy;418.792.014;12.358.169.699.999.900;450.0
468; via Gaspare Gozzi, Roma, Italy;418.517.232;124.773.326;450.0
469; via La Spezia 139, Roma, Italy;41.886.199.299.999.900;12.514.454.800.000.000;400.0
470; via dell'Acquedotto Paolo 16, Roma, Italy;419.374.185;124.268.117;450.0
471; via Tembien, Roma, Italy;41.928.922.799.999.900;125.250.406;390.0
472;  via Costantino Reta  50, Roma, Italy;4.176.300.870.000.000;124.794.725;300.0
473; piazza Aruleno Celio Sabino 83, Roma, Italy;418.530.357;12.558.396.499.999.900;
474; via delle Cave 1, Roma, Italy;41.970.144;128.705.961;420.0
475; via Dino Penazzato 105, Roma, Italy;418.977.094;125.648.754;330.0
476; via Raimondo Montecuccoli 13, Roma, Italy;4.189.312.460.000.000;125.272.495;400.0
477; viale Paolo Ferdinando Quaglia 20, Roma, Italy;418.692.573;126.424.248;320.0
478; largo dell'Olgiata 15, Roma, Italy;42.025.549.299.999.900;123.747.003;400.0
479; via Astura 2, Roma, Italy;416.171.622;126.969.146;600.0
480; via Luigi Luiggi 16, Roma, Italy;41.865.266;124.844.046;650.0
481; via Barbana 20, Roma, Italy;418.468.846;12.483.708.300.000.000;400.0
482; via Val Chisone 35, Roma, Italy;41.933.655.200.000.000;125.274.401;450.0
483; largo Preneste 4, Roma, Italy;418.924.574;125.408.285;230.0
484; via Carnia 15, Roma, Italy;419.112.972;125.208.189;550.0
485; viale Marco Fulvio Nobiliore 50, Roma, Italy;41.857.618.200.000.000;125.637.988;375.0
486; via Catone 29, Roma, Italy;419.071.537;124.590.594;600.0
487; via Ugo Amaldi 21, Roma, Italy;4.185.256.939.999.990;12.467.697;600.0
488; via Egerio Levio, Roma, Italy;418.619.699;125.498.185;500.0
489; via Eugenio Barsanti, Roma, Italy;4.187.163.820.000.000;124.675.041;420.0
490; viale di Trastevere, Roma, Italy;41.887.998.700.000.000;124.733.686;500.0
491; via Britannia 26, Roma, Italy;418.799.753;125.081.927;580.0
492; via Claudio Asello, Roma, Italy;418.631.911;12.558.202.900.000.000;380.0
493; via Alberto Trionfi, Roma, Italy;4.189.952.720.000.000;12.533.837.599.999.900;400.0
494; via Gasperina 154, Roma, Italy;418.331.605;125.999.995;470.0
495; via Pandolfo 1 3, Roma, Italy;419.107.922;12.523.351.400.000.000;450.0
496; via Costantino 41, Roma, Italy;418.550.083;12.489.901.099.999.900;480.0
497; via Leonardo Bianchi, Roma, Italy;419.362.487;124.224.543;400.0
498; via delle Cave, Roma, Italy;41.871.891.299.999.900;12.533.005.900.000.000;500.0
499; via dei Gabbiani 27, Roma, Italy;415.086.141;125.803.692;450.0
500; via Mario Chiri 25, Roma, Italy;418.956.016;12.563.466;360.0
501; via Vigarano Mainarda 13, Roma, Italy;41.794.913.799.999.900;124.036.383;550.0
502; via Oreste Tommasini 13, Roma, Italy;41.919.757.700.000.000;125.257.375;450.0
503; via Romanello da Forlì, Roma, Italy;41.891.084;125.322.431;520.0
504; via Ernesto De Angeli 15, Roma, Italy;41.849.243.799.999.900;126.243.757;350.0
505; via di Vigna Consorti 97, Roma, Italy;41.846.011.299.999.900;12.434.212.599.999.900;420.0
506; viale Antonio Ciamarra 72, Roma, Italy;41.855.967.299.999.900;125.902.893;425.0
507; via dei Monti di Pietralata 18, Roma, Italy;41.923.159.999.999.900;125.313.738;500.0
508; via Maenza, Roma, Italy;419.748.711;12.442.457.699.999.900;350.0
509; via Vincenzo Alberti 5, Roma, Italy;41.848.363.299.999.900;126.200.785;400.0
510; via Calpurnio Pisone 80, Roma, Italy;418.616.972;125.649.279;350.0
511; via Francesco Gonin 6, Roma, Italy;41.858.919;126.106.597;360.0
512; via Enrico Fermi 43, Roma, Italy;415.214.479;126.224.684;500.0
513; via Pietro Campora 19, Roma, Italy;4.187.608.529.999.990;12.446.712.699.999.900;400.0
514; via Manlio Torquato, Roma, Italy;418.732.324;125.298.701;450.0
515; largo Antonio Beltramelli 1, Roma, Italy;41.910.165.299.999.900;125.380.201;450.0
516; via Albona, Roma, Italy;418.979.815;125.530.094;560.0
517; viale Alessandrino 9, Roma, Italy;418.721.773;125.801.753;300.0
518; via Salvatore di Giacomo 25, Roma, Italy;418.462.047;12.487.883.199.999.900;450.0
519; via Val d'Aosta, Roma, Italy;419.315.179;12.525.897;350.0
520; via Lardaria 16, Roma, Italy;41.926.463.500.000.000;124.253.748;390.0
521; via Val Savio 8, Roma, Italy;419.338.218;12.525.179.800.000.000;400.0
522; via Macedonio Melloni 11, Roma, Italy;41.853.666.600.000.000;124.715.334;540.0
523; via Emma Carelli, Roma, Italy;419.238.816;124.214.592;400.0
524; via Amiterno, Roma, Italy;4.188.227.070.000.000;125.081.924;500.0
525; via Arnaldo Fraccaroli 7, Roma, Italy;419.149.291;12.548.108.599.999.900;600.0
526; via Oronzo Quarta 4, Roma, Italy;41.858.963;125.732.724;400.0
527; via Enrico Fermi 80, Roma, Italy;418.646.123;12.472.545.199.999.900;400.0
528; via Luigi Rossini 50, Roma, Italy;418.597.379;12.606.083;250.0
529; via Michele di Lando 79, Roma, Italy;419.142.933;125.275.181;460.0
530; via Arnaldo Cervesato, Roma, Italy;419.085.726;12.547.941.900.000.000;360.0
531; via Vacuna, Roma, Italy;419.109.378;125.358.674;550.0
532; via Nicola da Guardiagrele 58, Roma, Italy;418.606.318;126.050.323;300.0
533; via Tiburtina, Roma, Italy;419.337.712;126.038.724;400.0
534; via della Villa di Lucina 72, Roma, Italy;41.856.525.899.999.900;12.484.800.300.000.000;450.0
535; via Positano, Roma, Italy;41.735.716;125.523.226;300.0
536; via Adalberto 6, Roma, Italy;41.909.778.700.000.000;125.243.546;700.0
537; via Maddaloni 12, Roma, Italy;418.912.831;12.543.733.300.000.000;350.0
538; via Tiburtina 150, Roma, Italy;419.154.362;125.612.742;450.0
539; via Pian Due Torri 7, Roma, Italy;41.847.282;124.640.811;400.0
540; via Pizzo Bernina 8, Roma, Italy;41.939.001.899.999.900;12.539.529.400.000.000;390.0
541; via Eugenio Torelli Viollier 129, Roma, Italy;41.912.803.000.000.000;12.538.012.400.000.000;425.0
542; via Giovanni De Agostini 75, Roma, Italy;418.854.474;12.529.114;425.0
543; Nuovo Salario, Roma, Italy;4.195.542.929.999.990;125.103.323;450.0
544; via Frascineto 13, Roma, Italy;418.286.006;12.613.574.400.000.000;400.0
545; via Magenta, Roma, Italy;419.031.381;125.029.099;400.0
546; piazza Regina Margherita 27, Roma, Italy;42.093.277.799.999.900;11.794.046.699.999.900;500.0
547; via Licia 64, Roma, Italy;418.812.231;12.502.884;550.0
548; via Migiurtinia, Roma, Italy;419.302.901;125.218.511;500.0
549; via Padova 41, Roma, Italy;41.911.041.499.999.900;125.190.571;400.0
550; via di Villa Albani 2, Roma, Italy;419.144.753;12.501.068;550.0
551; via Gustavo Fara 9, Roma, Italy;41.816.143;124.420.354;500.0
552; viale Filarete 263, Roma, Italy;418.793.558;125.386.855;350.0
553; via Pietro Marchisio 199, Roma, Italy;418.504.062;12.588.874.800.000.000;350.0
554; via Guido Zanobini 36, Roma, Italy;418.578.626;125.696.013;400.0
555; via Val d'Ala 20, Roma, Italy;419.438.876;125.139.844;400.0
556; via Nostra Signora di Lourdes 126, Roma, Italy;41.903.546.899.999.900;12.426.096.000.000.000;450.0
557; via Lemonia 207, Roma, Italy;418.512.323;125.601.606;450.0
558; via Tiburtina 571, Roma, Italy;419.081.139;12.534.848.199.999.900;500.0
559; viale Cesare Pavese, Roma, Italy;418.193.079;12.467.522;390.0
560; Lungotevere di Pietra Papa 183, Roma, Italy;41.861.383.700.000.000;124.702.972;490.0
561; via Veientana Vetere 368, Roma, Italy;419.882.795;12.490.067.100.000.000;250.0
562; via dei Crispolti 13, Roma, Italy;4.190.900.070.000.000;125.494.097;550.0
563; via Ostiense 73, Roma, Italy;418.721.313;124.804.056;300.0
564; via Unione Sovietica 16, Roma, Italy;419.303.729;124.713.025;380.0
565; via dei Gonzaga, Roma, Italy;418.809.382;124.198.955;1.1
566; via Cutilia, Roma, Italy;4.187.913.220.000.000;125.094.265;500.0
567; via Montepulciano 52, Roma, Italy;415.052.071;12.714.139;500.0
568; viale dei Consoli, Roma, Italy;418.641.585;125.525.234;450.0
569; via Labicana 111, Roma, Italy;418.892.339;125.015.905;550.0
570; via Giovanni Battista Bodoni 96, Roma, Italy;418.786.286;12.473.790.699.999.900;500.0
571; via dell'Assunzione 89, Roma, Italy;419.079.701;124.159.804;400.0
572; piazza Lotario, Roma, Italy;419.149.977;125.222.977;510.0
573; via Ugolino Vivaldi 30, Roma, Italy;417.173.882;123.110.745;308.0
574; via Ettore Rolli 36, Roma, Italy;418.742.573;124.676.123;470.0
575; via Eurialo 14, Roma, Italy;41.874.268.900.000.000;125.251.169;480.0
576; via Alessandro Severo 73, Roma, Italy;418.528.984;124.876.164;450.0
577; via Amedeo Cencelli 69, Roma, Italy;418.779.411;12.542.882.800.000.000;350.0
578; via Ceneda 14, Roma, Italy;418.804.401;12.512.366.900.000.000;600.0
579;  via via Lorenzo il Magnifico, Roma, Italy;41.910.968;125.286.105;600.0
580; via Bisentina, Roma, Italy;419.443.378;125.393.163;350.0
581; via Carlo Passaglia 10, Roma, Italy;419.106.094;124.484.755;600.0
582; via del Quadraro 9, Roma, Italy;41.860.121.500.000.000;12.554.457.000.000.000;400.0
583; largo Antonio Beltramelli, Roma, Italy;419.103.777;125.384.212;350.0
584; via Filippo Civinini 105, Roma, Italy;419.247.874;124.813.168;550.0
585; via degli Equi 69, Roma, Italy;418.963.102;12.513.149.499.999.900;600.0
586; via Raffaele Garofalo 143, Roma, Italy;418.423.236;125.993.769;240.0
587; via di Torrevecchia 257, Roma, Italy;419.167.244;124.080.933;330.0
588; via Giacinto De Vecchi Pieralice 70, Roma, Italy;41.900.263.200.000.000;124.423.492;450.0
589; via Francesco Gentile 67, Roma, Italy;418.549.003;12.588.365.699.999.900;440.0
590; viale Giulio Agricola 115, Roma, Italy;418.546.679;125.606.269;430.0
591; via Nomentana Nuova 25, Roma, Italy;419.347.374;12.532.376;960.0
592; via Anassimandro 6, Roma, Italy;418.829.006;125.346.147;400.0
593; via Sant'Angelo dei Lombardi 19, Roma, Italy;418.918.348;12.555.432.000.000.000;450.0
594; via dei Monti di Creta 85, Roma, Italy;41.901.599.700.000.000;124.294.925;450.0
595; via Giuseppe Veronese 51, Roma, Italy;41.866.724;124.643.418;350.0
596; via dei Sardi 65, Roma, Italy;41.896.848.799.999.900;12.516.672.999.999.900;638.0
597; via Germano Sommeiller 12, Roma, Italy;41.889.987.299.999.900;125.135.999;400.0
598; largo Bradano 1, Roma, Italy;419.249.902;125.136.942;500.0
599; via Aurelia 565, Roma, Italy;418.986.499;124.264.731;400.0
600; via Fontanellato 49, Roma, Italy;418.477.999;124.841.829;400.0
601; via Giovanni Marchesini 6, Roma, Italy;419.401.437;124.251.021;400.0
602; via della Giuliana, Roma, Italy;419.121.428;124.544.785;550.0
603; via di Casal Bertone 100, Roma, Italy;41.898.492.100.000.000;12.536.313;400.0
604; via Minturno 39, Roma, Italy;418.859.936;12.547.344.500.000.000;500.0
605; viale Ippocrate 156, Roma, Italy;419.066.692;125.168.547;550.0
606; via Rivisondoli 45, Roma, Italy;419.229.984;12.573.068.199.999.900;300.0
607; via Celimontana 38, Roma, Italy;418.885.198;12.496.489.599.999.900;700.0
608; via Prenestina 376, Roma, Italy;418.949.716;12.559.325;500.0
609; via Gerolamo Cardano 5, Roma, Italy;418.634.439;124.683.476;400.0
610; largo Somalia 27, Roma, Italy;419.359.069;12.515.617.500.000.000;550.0
611; via Appia Nuova, Roma, Italy;41.734.351.600.000.000;126.524.472;450.0
612;  via conca d'oro, Roma, Italy;419.389.496;125.269.496;500.0
613; via Federico Bocchetti, Roma, Italy;420.649.206;123.358.969;300.0
614; via Tuscolana 801, Roma, Italy;41.846.166.600.000.000;12.578.920.599.999.900;450.0
615; via dei Redattori 128, Roma, Italy;417.637.597;124.692.258;315.0
616; via Tazio Nuvolari 147, Roma, Italy;41.835.334.700.000.000;12.502.323.800.000.000;400.0
617; via Fiume Giallo 431, Roma, Italy;418.109.761;124.283.293;400.0
618; via Ulisse Dini, Roma, Italy;418.643.625;124.657.339;350.0
619; viale dello Scalo San Lorenzo 65, Roma, Italy;418.977.144;125.197.097;540.0
620; via Tullio Garbari 11, Roma, Italy;41.775.315.899.999.900;123.458.109;300.0
621; via dei Marrucini 8, Roma, Italy;41.899.842;12.514.114.300.000.000;450.0
622; largo Giacomo Guidi, Roma, Italy;41.881.185.200.000.000;124.263.735;400.0
623; via Filippo Meda 169, Roma, Italy;419.145.592;125.465.768;600.0
624; via del Casale Lumbroso, Roma, Italy;418.807.876;12.361.604.400.000.000;350.0
625; via Gabrio Casati 43, Roma, Italy;41.954.451.399.999.900;12.524.219.699.999.900;400.0
626;  via VALSAVARANCHE, Roma, Italy;419.445.357;125.152.868;450.0
627; via Ettore Rota, Roma, Italy;41.875.492.200.000.000;12.546.117;380.0
628; via Livio Salinatore 30, Roma, Italy;418.598.495;125.588.821;500.0
